               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094502,            0.038905,                   0,             0.27365,             0.26071,             0.18803,            0.049753,            0.070794,            0.027959,                   0,           0.0033125,           0.0033125,            0.070187
                   1,            0.067926,             0.03611,                   0,             0.44689,             0.34383,             0.32755,            0.082212,            0.062459,            0.022382,                   0,             0.00658,             0.00658,            0.040122
                   2,             0.06145,            0.033626,                   0,             0.42605,             0.45437,             0.39679,             0.12179,            0.054902,            0.022445,                   0,           0.0097816,           0.0097816,           0.0099899
                   3,            0.055212,            0.033916,                   0,              0.5222,             0.49496,             0.49015,             0.18599,            0.054873,            0.022808,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.052842,            0.034552,                   0,              0.5487,             0.51511,             0.51013,             0.19026,            0.051018,            0.022105,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.050851,            0.033319,                   0,              0.5677,              0.5403,              0.5708,             0.23318,            0.048158,            0.021884,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.049709,            0.033109,                   0,              0.6464,             0.55255,             0.60721,             0.25807,            0.047563,            0.021479,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.049482,             0.03244,                   0,             0.61566,             0.54912,             0.58295,             0.24582,            0.047933,            0.022372,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.048246,             0.03263,                   0,             0.64208,             0.57431,             0.61785,             0.24067,            0.049317,            0.021259,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.047578,            0.032217,                   0,             0.61527,             0.55792,              0.5964,             0.24235,             0.04675,            0.021807,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.046485,            0.031997,                   0,             0.69372,             0.56045,             0.61802,             0.25995,            0.047335,            0.021584,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.045727,            0.031111,                   0,             0.65653,             0.57537,             0.62169,             0.26341,            0.048339,            0.021344,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.046756,            0.031308,                   0,             0.65772,             0.55906,             0.59909,             0.25313,            0.048105,            0.021625,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.045324,            0.031362,                   0,             0.67614,                 0.5,             0.56451,             0.23691,            0.049986,            0.022204,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.044486,            0.031096,                   0,             0.65344,             0.58656,             0.61448,             0.24744,            0.047844,             0.02184,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.04468,            0.031187,                   0,             0.68977,             0.58564,             0.63424,             0.27295,            0.047603,            0.021147,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.044219,            0.030505,                   0,             0.67589,             0.56549,             0.60997,             0.25948,            0.048517,            0.021706,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.042256,             0.03027,                   0,             0.65295,             0.58438,             0.61826,             0.24508,            0.048422,            0.021827,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.042872,            0.029868,                   0,             0.64417,              0.5814,             0.60297,             0.24669,            0.048605,            0.021757,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.042744,            0.029548,                   0,             0.58633,             0.59824,             0.57817,             0.23598,            0.049376,            0.021983,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.042222,            0.029019,                   0,             0.62351,             0.57431,             0.58623,             0.24408,            0.048424,            0.021761,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.041626,              0.0293,                   0,             0.64638,             0.54282,             0.58695,             0.24166,            0.049549,            0.022347,                   0,             0.00802,             0.00802,             0.00802
                  22,             0.04142,            0.028704,                   0,             0.63862,             0.54534,              0.5674,             0.23746,            0.050239,            0.022046,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.041238,            0.028325,                   0,             0.67498,             0.57543,             0.61968,               0.255,            0.047563,            0.021991,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.041297,            0.028925,                   0,             0.66387,             0.53526,             0.57113,             0.23271,            0.049686,            0.022665,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.040067,            0.028269,                   0,             0.61425,             0.57809,             0.58784,             0.24848,            0.048765,            0.022474,                   0,            0.007624,            0.007624,            0.007624
